Max of Event ID,YearMonth,Max of Close,LowerBound,Event Y Pos,""
,,381.58667,-10,,
,2010-07-31 00:00:00,1.329333,-10,,
,2010-08-31 00:00:00,1.298667,-10,,
,2010-09-30 00:00:00,1.360667,-10,,
,2010-10-31 00:00:00,1.456,-10,,
,2010-11-30 00:00:00,2.355333,-10,,
,2010-12-31 00:00:00,1.775333,-10,,
,2011-01-31 00:00:00,1.606667,-10,,
,2011-02-28 00:00:00,1.592667,-10,,
,2011-03-31 00:00:00,1.85,-10,,
,2011-04-30 00:00:00,1.84,-10,,
,2011-05-31 00:00:00,2.009333,-10,,
,2011-06-30 00:00:00,1.942,-10,,
,2011-07-31 00:00:00,1.878,-10,,
,2011-08-31 00:00:00,1.649333,-10,,
,2011-09-30 00:00:00,1.626,-10,,
,2011-10-31 00:00:00,1.958,-10,,
,2011-11-30 00:00:00,2.182667,-10,,
,2011-12-31 00:00:00,1.904,-10,,
,2012-01-31 00:00:00,1.938,-10,,
,2012-02-29 00:00:00,2.227333,-10,,
,2012-03-31 00:00:00,2.482667,-10,,
,2012-04-30 00:00:00,2.208667,-10,,
,2012-05-31 00:00:00,1.966667,-10,,
,2012-06-30 00:00:00,2.086,-10,,
,2012-07-31 00:00:00,1.828,-10,,
,2012-08-31 00:00:00,1.901333,-10,,
,2012-09-30 00:00:00,1.952,-10,,
,2012-10-31 00:00:00,1.875333,-10,,
,2012-11-30 00:00:00,2.254667,-10,,
,2012-12-31 00:00:00,2.258,-10,,
1,2013-01-31 00:00:00,2.500667,-10,Tesla reports ist first quarterly profit,Tesla reports ist first quarterly profit
,2013-02-28 00:00:00,2.322,-10,,
,2013-03-31 00:00:00,2.526,-10,,
,2013-04-30 00:00:00,3.599333,-10,,
,2013-05-31 00:00:00,6.517333,-10,,
,2013-06-30 00:00:00,7.157333,-10,,
,2013-07-31 00:00:00,8.952,-10,,
,2013-08-31 00:00:00,11.266667,-10,,
,2013-09-30 00:00:00,12.891333,-10,,
,2013-10-31 00:00:00,10.662667,-10,,
,2013-11-30 00:00:00,8.485333,-10,,
,2013-12-31 00:00:00,10.028667,-10,,
,2014-01-31 00:00:00,12.094,-10,,
,2014-02-28 00:00:00,16.320667,-10,,
,2014-03-31 00:00:00,13.896667,-10,,
,2014-04-30 00:00:00,13.859333,-10,,
,2014-05-31 00:00:00,13.851333,-10,,
,2014-06-30 00:00:00,16.004,-10,,
,2014-07-31 00:00:00,14.886667,-10,,
,2014-08-31 00:00:00,17.98,-10,,
2,2014-09-30 00:00:00,16.178667,-10,The construction of the first Gigafactory is announced,The construction of the first Gigafactory is announced
,2014-10-31 00:00:00,16.113333,-10,,
,2014-11-30 00:00:00,16.301332,-10,,
,2014-12-31 00:00:00,14.827333,-10,,
,2015-01-31 00:00:00,13.573333,-10,,
,2015-02-28 00:00:00,13.556,-10,,
,2015-03-31 00:00:00,12.584667,-10,,
,2015-04-30 00:00:00,15.07,-10,,
,2015-05-31 00:00:00,16.719999,-10,,
,2015-06-30 00:00:00,17.884001,-10,,
,2015-07-31 00:00:00,17.743334,-10,,
,2015-08-31 00:00:00,16.604,-10,,
